Ensembl Gene ID,Human Ensembl Gene ID,Homology Type,"Orthology confidence [0 low, 1 high]",% Identity with respect to query gene,% Identity with respect to Human gene
ENSDARG00000083480,,,,,
ENSDARG00000082753,,,,,
ENSDARG00000081443,,,,,
ENSDARG00000080337,,,,,
ENSDARG00000083046,,,,,
ENSDARG00000063895,ENSG00000198888,ortholog_one2one,0,65,66
ENSDARG00000083118,,,,,
ENSDARG00000080630,,,,,
ENSDARG00000082084,,,,,
ENSDARG00000063899,ENSG00000198763,ortholog_one2one,0,45,45
ENSDARG00000080718,,,,,
ENSDARG00000080401,,,,,
ENSDARG00000081938,,,,,
ENSDARG00000082789,,,,,
ENSDARG00000080128,,,,,
ENSDARG00000063905,ENSG00000198804,ortholog_one2one,1,85,85
ENSDARG00000081369,,,,,
ENSDARG00000083519,,,,,
ENSDARG00000063908,ENSG00000198712,ortholog_one2one,0,65,66
ENSDARG00000080151,,,,,
ENSDARG00000063910,,,,,
ENSDARG00000063911,ENSG00000198899,ortholog_one2one,0,52,52
ENSDARG00000063912,ENSG00000198938,ortholog_one2one,0,81,81
ENSDARG00000081758,,,,,
ENSDARG00000063914,ENSG00000198840,ortholog_one2one,0,57,57
ENSDARG00000080329,,,,,
ENSDARG00000063916,ENSG00000212907,ortholog_one2one,0,51,51
ENSDARG00000063917,ENSG00000198886,ortholog_one2one,0,60,60
ENSDARG00000082716,,,,,
ENSDARG00000082123,,,,,
ENSDARG00000081280,,,,,
ENSDARG00000063921,ENSG00000198786,ortholog_one2one,0,53,54
ENSDARG00000063922,ENSG00000198695,ortholog_one2one,1,33,33
ENSDARG00000083312,,,,,
ENSDARG00000063924,ENSG00000198727,ortholog_one2one,0,70,70
ENSDARG00000083462,,,,,
ENSDARG00000081475,,,,,
ENSDARG00000103541,,,,,
ENSDARG00000089432,,,,,
ENSDARG00000100180,,,,,
ENSDARG00000100727,,,,,
ENSDARG00000099963,,,,,
ENSDARG00000101229,,,,,
ENSDARG00000057884,ENSG00000116663,ortholog_many2many,1,32,31
ENSDARG00000057884,ENSG00000132879,ortholog_many2many,1,32,36
ENSDARG00000100961,,,,,
ENSDARG00000094160,ENSG00000186047,ortholog_one2one,1,29,22
ENSDARG00000105257,,,,,
ENSDARG00000059858,ENSG00000182752,ortholog_one2many,1,59,59
ENSDARG00000078657,ENSG00000228594,ortholog_one2one,1,38,42
ENSDARG00000089555,,,,,
ENSDARG00000045957,ENSG00000140030,ortholog_one2one,1,31,31
ENSDARG00000104694,ENSG00000188716,ortholog_one2many,1,35,26
ENSDARG00000105265,,,,,
ENSDARG00000060392,ENSG00000129691,ortholog_one2one,1,80,75
ENSDARG00000104196,ENSG00000153234,ortholog_one2many,1,88,88
ENSDARG00000103035,,,,,
ENSDARG00000070581,ENSG00000134864,ortholog_one2many,1,42,44
ENSDARG00000090868,ENSG00000239194,ortholog_many2many,0,44,41
ENSDARG00000090868,ENSG00000212172,ortholog_many2many,0,57,53
ENSDARG00000090868,ENSG00000200340,ortholog_many2many,0,55,51
ENSDARG00000090868,ENSG00000200204,ortholog_many2many,0,57,54
ENSDARG00000090868,ENSG00000252850,ortholog_many2many,0,60,56
ENSDARG00000093040,,,,,
ENSDARG00000076998,,,,,
ENSDARG00000098194,ENSG00000133195,ortholog_one2one,0,78,46
ENSDARG00000098128,,,,,
ENSDARG00000103225,ENSG00000164332,ortholog_one2many,1,84,73
ENSDARG00000102457,,,,,
ENSDARG00000101157,,,,,
ENSDARG00000103075,,,,,
ENSDARG00000063258,ENSG00000143390,ortholog_one2one,1,31,30
ENSDARG00000098329,,,,,
